HOF_status,PA,HR,R,RBI,AVG,OBP,SLG,wRC+,Off,WAR
0,7595,378,997,1218,0.268,0.317,0.489,110,88.6,44.8
0,8979,69,1639,1014,0.316,0.385,0.417,119,283.5,44.8
0,8177,352,1253,1206,0.291,0.363,0.51,125,262.1,44.7
0,8559,246,985,1065,0.282,0.388,0.436,134,322.3,44.4
0,10917,235,1668,1139,0.284,0.352,0.433,105,145.9,44.4
0,9041,398,1197,1266,0.265,0.346,0.469,119,206.3,44.3
0,7402,151,844,706,0.265,0.338,0.398,113,110.9,44.2
0,7470,57,1217,855,0.302,0.34,0.409,124,261.9,44.2
0,8187,38,1174,850,0.303,0.389,0.406,110,90.4,44.2
0,7810,339,889,1187,0.266,0.361,0.462,134,292.3,44.1
0,8657,473,1241,1512,0.28,0.383,0.546,135,368.6,44.1
0,6575,7,1011,299,0.29,0.413,0.333,128,216.6,44.0
0,9053,287,1366,1257,0.297,0.381,0.477,126,286.3,43.9
0,6352,239,936,950,0.277,0.388,0.492,135,282.1,43.8
0,6716,106,1313,851,0.311,0.392,0.463,132,340.6,43.8
0,7340,352,1080,1154,0.296,0.358,0.532,135,333.6,43.8
0,7557,64,953,1166,0.31,0.37,0.442,124,202.2,43.8
0,8240,145,1180,719,0.283,0.334,0.427,103,105.0,43.8
0,6029,70,1120,822,0.299,0.344,0.435,123,212.1,43.6
0,8742,56,1117,722,0.303,0.36,0.401,117,161.5,43.5
0,8793,94,1057,844,0.288,0.347,0.399,102,19.3,43.5
0,7003,100,1004,830,0.287,0.39,0.419,125,231.0,43.4
0,7797,324,856,1070,0.252,0.313,0.44,105,34.9,43.4
0,9778,219,1189,1326,0.303,0.344,0.451,120,220.4,43.4
0,6104,46,1327,618,0.301,0.386,0.411,131,277.3,42.9
0,9692,353,1296,1391,0.277,0.331,0.461,110,102.7,42.9
0,5663,242,809,898,0.3,0.359,0.522,136,265.4,42.8
0,6226,181,882,997,0.324,0.383,0.532,138,337.4,42.8
0,6836,167,884,768,0.266,0.357,0.426,116,142.0,42.7
0,12013,80,1445,951,0.272,0.336,0.352,83,-234.3,42.5
0,9545,54,1359,578,0.29,0.377,0.376,115,169.7,42.2
0,8129,462,1186,1407,0.266,0.353,0.515,130,303.5,42.1
0,6033,136,822,859,0.313,0.392,0.483,140,293.2,42.0
0,9731,173,1285,1194,0.298,0.365,0.417,112,146.2,42.0
0,6495,164,835,792,0.274,0.349,0.443,120,168.7,41.9
0,7127,271,1049,917,0.289,0.36,0.486,125,236.4,41.8
0,7340,155,1023,614,0.263,0.349,0.388,111,157.9,41.8
0,8080,208,1125,846,0.263,0.319,0.419,98,4.2,41.8
0,7666,105,1037,1023,0.306,0.383,0.437,121,201.3,41.7
0,7420,90,1144,977,0.302,0.383,0.44,115,149.0,41.6
0,8383,48,1006,740,0.259,0.336,0.335,89,-114.4,41.6
0,6326,335,898,1000,0.259,0.357,0.505,137,272.0,41.5
0,6507,58,1186,632,0.325,0.397,0.462,126,217.9,41.5
0,6116,229,927,936,0.313,0.361,0.521,124,199.9,41.4
0,7178,136,998,766,0.29,0.33,0.435,104,124.6,41.2
0,8396,464,1090,1325,0.274,0.343,0.513,129,256.9,41.2
0,6972,23,1140,977,0.312,0.346,0.392,121,207.4,41.1
0,8493,91,1455,1055,0.277,0.335,0.383,93,-40.1,41.1
0,8743,79,1130,710,0.284,0.355,0.391,98,-15.7,41.1
0,6423,59,769,710,0.284,0.393,0.401,120,145.3,41.0
0,6676,381,974,1239,0.295,0.369,0.564,139,339.6,41.0
0,7736,160,964,758,0.271,0.36,0.404,123,195.9,41.0
0,8329,281,1041,1269,0.288,0.363,0.47,120,210.2,41.0
0,5904,113,696,701,0.292,0.346,0.41,116,98.0,40.9
0,7150,275,900,1065,0.273,0.374,0.474,123,156.2,40.9
0,7502,27,1478,563,0.269,0.334,0.341,95,24.9,40.9
0,7609,43,856,970,0.292,0.345,0.403,110,77.6,40.9
0,6570,188,765,826,0.247,0.354,0.409,113,94.3,40.8
0,7722,222,1007,1099,0.307,0.358,0.471,124,218.4,40.7
0,6418,235,837,948,0.268,0.365,0.465,131,236.7,40.5
0,6534,237,778,879,0.259,0.329,0.445,114,102.1,40.5
0,6602,305,929,1017,0.279,0.378,0.5,130,234.5,40.4
0,10460,304,1443,1167,0.271,0.332,0.442,104,76.1,40.4
0,5282,81,802,404,0.285,0.375,0.419,122,163.8,40.3
0,8247,193,1092,1007,0.277,0.343,0.425,115,168.3,40.2
0,5616,196,860,913,0.319,0.393,0.53,132,241.5,40.1
0,3591,179,717,877,0.34,0.41,0.619,167,332.6,40.0
0,4885,194,535,592,0.236,0.345,0.424,112,38.0,40.0
0,6402,61,848,549,0.269,0.359,0.374,108,75.6,39.8
0,6675,238,968,874,0.272,0.364,0.477,123,189.8,39.8
0,7387,98,1132,615,0.289,0.378,0.406,109,124.9,39.8
0,5395,112,697,576,0.276,0.356,0.41,114,87.7,39.7
0,7043,305,1037,983,0.267,0.343,0.487,115,155.0,39.7
0,9205,307,1230,1302,0.285,0.336,0.456,106,50.1,39.7
0,9641,101,993,950,0.267,0.322,0.357,88,-106.5,39.7
0,7379,75,1001,951,0.277,0.335,0.408,119,153.3,39.6
0,4264,41,759,366,0.292,0.34,0.406,127,163.3,39.5
0,7402,284,963,1061,0.277,0.341,0.475,116,142.6,39.5
0,6170,210,653,773,0.251,0.332,0.42,108,52.9,39.4
0,5560,194,777,887,0.293,0.37,0.509,136,236.0,39.1
0,5394,241,715,716,0.256,0.335,0.466,117,101.0,39.0
0,6800,9,948,318,0.265,0.382,0.314,111,96.6,39.0
0,8395,412,1152,1159,0.27,0.319,0.5,111,147.3,39.0
0,9817,360,1130,1341,0.255,0.308,0.434,95,-68.1,39.0
0,6894,178,1070,829,0.272,0.39,0.441,114,129.0,38.9
0,4310,55,549,533,0.256,0.34,0.387,116,85.8,38.8
0,6720,277,876,1152,0.275,0.362,0.483,121,180.5,38.8
0,7353,382,864,1119,0.273,0.352,0.499,140,325.3,38.7
0,5409,183,901,795,0.282,0.382,0.491,131,216.7,38.6
0,8986,386,1098,1417,0.283,0.341,0.492,115,103.2,38.5
0,7887,104,1009,723,0.297,0.343,0.397,97,-37.1,38.4
0,7610,66,1227,1124,0.302,0.364,0.416,111,116.3,38.3
0,5241,10,603,505,0.269,0.364,0.338,113,85.4,38.2
0,7908,206,985,852,0.286,0.328,0.433,113,112.5,38.1
0,8022,242,964,1013,0.278,0.347,0.432,117,159.8,37.9
0,8525,195,1123,860,0.265,0.343,0.416,103,23.7,37.9
0,8870,65,1255,625,0.266,0.36,0.355,99,-13.5,37.9
0,9997,350,1240,1372,0.274,0.36,0.451,118,210.7,37.9
0,5082,64,809,667,0.255,0.332,0.384,112,81.7,37.8
0,5415,225,762,780,0.29,0.361,0.495,119,100.2,37.8
0,8317,41,1168,585,0.285,0.326,0.376,94,15.6,37.8
0,9466,272,1143,1308,0.294,0.329,0.446,116,166.9,37.8
0,5435,29,811,364,0.268,0.41,0.348,117,121.1,37.7
0,6899,95,621,624,0.248,0.327,0.348,91,-83.6,37.7
0,5010,62,932,755,0.31,0.407,0.443,134,247.6,37.6
0,5776,41,966,379,0.271,0.423,0.366,113,83.9,37.6
0,7137,293,903,1086,0.282,0.367,0.481,126,217.0,37.6
0,8312,17,1004,617,0.285,0.353,0.353,110,116.4,37.6
0,8908,260,908,1125,0.257,0.316,0.416,102,0.6,37.6
0,6218,155,623,808,0.264,0.357,0.402,106,45.9,37.5
0,6614,139,943,578,0.256,0.342,0.398,103,92.6,37.3
0,9175,139,1215,683,0.254,0.394,0.371,114,155.8,37.1
0,5846,275,826,851,0.26,0.345,0.476,126,190.1,36.9
0,7720,251,1024,1005,0.292,0.365,0.47,122,187.3,36.9
0,7089,44,1064,779,0.293,0.376,0.411,118,194.0,36.7
0,7745,294,1076,1236,0.309,0.369,0.502,126,229.2,36.7
0,8734,9,1280,436,0.25,0.356,0.3,96,-45.6,36.6
0,6115,215,730,898,0.3,0.37,0.48,137,261.5,36.5
0,6312,163,737,852,0.276,0.338,0.441,110,71.6,36.5
0,8046,317,997,1202,0.287,0.358,0.485,127,204.4,36.5
0,8702,75,1030,744,0.288,0.366,0.378,99,-6.8,36.5
0,6046,33,754,552,0.271,0.317,0.371,105,46.6,36.4
0,9834,172,1196,1311,0.286,0.359,0.428,115,160.0,36.4
