Name,HOF_status,G,PA,HR,R,RBI,SB,AVG,OBP,SLG,wRC+,Off,Def,WAR
Smoky Burgess,not_HOF,1691,5013,126,485,673,13,0.295,0.362,0.446,115,91.5,78.1,34.2
Joe Adcock,not_HOF,1959,7304,336,823,1122,20,0.277,0.337,0.485,123,199.7,-99.9,34.2
Benny Kauff,not_HOF,859,3564,49,521,454,234,0.311,0.389,0.45,149,211,-19.6,34.1
Kyle Seager,not_HOF,1480,6204,242,705,807,55,0.251,0.321,0.442,111,68.9,52.1,34.1
Cool Papa Bell,not_HOF,1199,5297,57,1149,595,285,0.325,0.394,0.446,127,235.1,-69.3,34
Ginger Beaumont,not_HOF,1463,6281,39,955,617,254,0.311,0.362,0.393,121,161.2,-53.8,34
Bill White,not_HOF,1673,6680,202,843,870,103,0.286,0.351,0.455,117,131.4,-30.5,34
Carney Lansford,not_HOF,1862,7905,151,1007,874,224,0.29,0.343,0.411,111,105.9,-42,33.9
Roy Cullenbine,not_HOF,1181,4787,110,627,599,26,0.276,0.408,0.432,135,193.4,-35.2,33.8
Anthony Rendon,not_HOF,1173,5022,158,683,671,55,0.28,0.364,0.464,122,149.4,20.6,33.8
Tommy Holmes,not_HOF,1320,5565,88,698,581,40,0.302,0.366,0.432,121,148.4,0.5,33.8
Freddy Parent,not_HOF,1327,5571,20,633,471,184,0.262,0.315,0.34,100,1.4,135.1,33.8
Cecil Cooper,not_HOF,1896,7939,241,1012,1125,89,0.298,0.337,0.466,119,176.1,-112,33.8
Don Buford,not_HOF,1286,5347,93,718,418,200,0.264,0.362,0.379,117,107.3,51.8,33.7
Topsy Hartsel,not_HOF,1356,5793,31,826,341,247,0.276,0.384,0.37,131,201.4,-79.3,33.7
Cy Seymour,not_HOF,1528,6204,52,737,799,222,0.303,0.347,0.405,116,110.1,-18.7,33.6
Frank McCormick,not_HOF,1534,6207,128,722,951,27,0.299,0.348,0.434,118,135.9,-0.5,33.5
Eddie Joost,not_HOF,1574,6783,134,874,601,61,0.239,0.361,0.366,102,20.9,88,33.5
Lu Blue,not_HOF,1615,7207,44,1151,695,151,0.287,0.402,0.401,112,108.8,-31.9,33.5
Edwin Encarnacion,not_HOF,1960,8126,424,1099,1261,61,0.26,0.35,0.496,125,226.3,-175.1,33.5
Bill Joyce,not_HOF,904,4149,70,820,607,264,0.294,0.435,0.467,140,274.4,-27.9,33.4
Gene Woodling,not_HOF,1796,6613,147,830,830,29,0.284,0.386,0.431,125,194,-82.7,33.4
Garry Maddox,not_HOF,1749,6777,117,777,754,248,0.285,0.32,0.413,100,13.5,87.3,33.4
Mike Donlin,not_HOF,1049,4282,51,669,543,213,0.333,0.386,0.468,139,214.4,-50.9,33.2
Claude Ritchey,not_HOF,1671,6822,18,708,673,155,0.273,0.348,0.342,104,9.2,73.8,33.2
Dick Groat,not_HOF,1929,8179,39,829,707,14,0.286,0.33,0.366,90,-107.9,159.9,33.2
Jimmy Dykes,not_HOF,2282,9347,108,1108,1071,70,0.28,0.365,0.399,98,-32.2,37.6,33.2
Riggs Stephenson,not_HOF,1310,5134,63,714,773,53,0.336,0.407,0.473,131,220.4,-48.8,33.1
Chick Stahl,not_HOF,1304,5709,36,858,622,189,0.305,0.369,0.416,121,151,-20.5,33.1
Rafael Furcal,not_HOF,1614,7237,113,1063,587,314,0.281,0.346,0.402,99,46.5,53.9,33.1
Jeff Cirillo,not_HOF,1617,6136,112,800,727,63,0.296,0.366,0.43,103,26.6,105,33
Terry Turner,not_HOF,1659,6658,8,699,528,256,0.253,0.308,0.318,89,-72.9,164.6,32.9
Ron Gant,not_HOF,1832,7320,321,1080,1008,243,0.256,0.336,0.468,112,115.4,-30.9,32.7
Greg Luzinski,not_HOF,1821,7518,307,880,1128,37,0.276,0.363,0.478,131,260.4,-201.3,32.7
Bobby Bonilla,not_HOF,2113,8257,287,1084,1173,45,0.279,0.358,0.472,123,204.9,-161.8,32.7
Bobby Murcer,not_HOF,1908,7718,252,972,1043,127,0.277,0.357,0.445,124,205.9,-156.6,32.6
Brady Anderson,not_HOF,1834,7737,210,1062,761,315,0.256,0.362,0.425,111,130.6,-58.6,32.6
Jackie Jensen,not_HOF,1438,6079,199,810,929,143,0.279,0.369,0.46,120,157.3,-35.8,32.5
Tony Cuccinello,not_HOF,1704,6877,94,730,884,42,0.28,0.343,0.394,104,38.9,69.9,32.5
Willie Kamm,not_HOF,1693,6935,29,802,826,126,0.281,0.372,0.384,100,-20.9,93.8,32.4
Wally Moses,not_HOF,2012,8253,89,1124,679,174,0.291,0.364,0.416,107,71.5,-39.6,32.4
Dwayne Murphy,not_HOF,1360,5242,166,648,609,100,0.246,0.356,0.402,116,94.1,46.2,32.3
Carl Furillo,not_HOF,1806,7022,192,895,1058,48,0.299,0.355,0.458,113,116.6,-18.2,32.3
Ken Griffey Sr.,not_HOF,2097,8049,152,1129,859,200,0.296,0.359,0.431,119,186.7,-146.6,32.1
Hank Thompson,not_HOF,1087,4207,144,625,568,56,0.275,0.376,0.461,124,133.5,46.7,32
Johnny Pesky,not_HOF,1270,5516,17,867,404,53,0.307,0.394,0.386,111,61.6,64.5,32
J.D. Martinez,not_HOF,1642,6865,331,897,1071,26,0.283,0.348,0.516,130,221.1,-135.5,32
Don Money,not_HOF,1720,6998,176,798,729,80,0.261,0.328,0.406,106,46.3,28.2,32
Vic Wertz,not_HOF,1862,7021,266,867,1178,9,0.277,0.364,0.469,120,170.5,-83.5,32
Hal Trosky Sr.,not_HOF,1347,5747,228,835,1012,28,0.302,0.371,0.522,125,201.4,-80,31.9
Harry Steinfeldt,not_HOF,1646,6694,27,758,762,194,0.267,0.33,0.36,102,4.4,57.8,31.9
Bob Boone,not_HOF,2264,8148,105,679,826,38,0.254,0.315,0.346,82,-186.8,232.2,31.9
Brian Jordan,not_HOF,1456,5646,184,755,821,119,0.282,0.333,0.455,105,41.8,94.5,31.7
Monte Irvin,not_HOF,1035,4008,137,571,687,52,0.305,0.39,0.49,136,184.5,-1,31.6
Wally Pipp,not_HOF,1872,7820,90,974,998,125,0.281,0.341,0.408,104,25.3,9.7,31.6
Matt Carpenter,not_HOF,1511,5773,179,813,659,28,0.259,0.366,0.449,125,161.3,-44.8,31.5
Alex Gordon,not_HOF,1753,7250,190,867,749,113,0.257,0.338,0.41,102,32.9,20.7,31.5
John Valentin,not_HOF,1105,4511,124,614,558,47,0.279,0.36,0.454,110,56.1,107.1,31.4
Andres Galarraga,not_HOF,2257,8916,399,1195,1425,128,0.288,0.347,0.499,118,177.1,-153.1,31.4
B.J. Surhoff,not_HOF,2313,9106,188,1062,1153,141,0.282,0.332,0.413,96,-48.1,59.1,31.4
Joe Start,not_HOF,1071,4911,15,854,544,18,0.299,0.322,0.367,118,131,36.7,31.3
Elston Howard,not_HOF,1625,5927,168,635,775,10,0.274,0.321,0.427,105,37.4,88.1,31.3
Howie Kendrick,not_HOF,1621,6421,127,792,724,126,0.294,0.337,0.43,109,66.2,24.2,31.3
Bobby Thomson,not_HOF,1779,6957,264,903,1026,38,0.27,0.332,0.462,110,83.8,1.2,31.3
Bob Bailey,not_HOF,1931,7043,189,772,773,85,0.257,0.347,0.403,112,87.1,-33.1,31.3
Chris Speier,not_HOF,2260,8155,112,770,720,42,0.246,0.327,0.349,89,-115.3,145.6,31.3
Ezra Sutton,not_HOF,1263,5536,25,992,671,69,0.294,0.316,0.386,114,122.6,35.7,31.2
Ken McMullen,not_HOF,1583,5730,156,568,606,20,0.248,0.316,0.383,104,20.5,101.1,31.2
Jimmy Williams,not_HOF,1456,6112,49,781,796,151,0.275,0.337,0.397,112,88.5,14.6,31.2
Javy Lopez,not_HOF,1503,5793,260,674,864,8,0.287,0.337,0.491,112,70.4,59.3,31.1
Johnny Logan,not_HOF,1503,5893,93,651,547,19,0.268,0.33,0.378,96,-22.7,141.6,31.1
Mo Vaughn,not_HOF,1512,6410,328,861,1064,30,0.293,0.383,0.523,129,238.9,-136.5,31.1
Bob Watson,not_HOF,1832,6962,184,802,989,27,0.295,0.364,0.447,128,217.8,-158.8,31.1
Rick Monday,not_HOF,1986,7162,241,950,775,98,0.264,0.361,0.443,125,187,-132.8,31.1
George Burns,not_HOF,1866,7233,72,901,951,154,0.307,0.354,0.429,111,89.6,-44.2,31.1
Frank White,not_HOF,2324,8468,160,912,886,178,0.255,0.293,0.383,84,-153.8,182.5,31.1
Mike Hargrove,not_HOF,1666,6694,80,783,686,24,0.29,0.396,0.391,124,173.4,-96.2,31
Elbie Fletcher,not_HOF,1415,5826,79,723,616,32,0.271,0.384,0.39,120,142.9,-23.6,30.9
Brandon Crawford,not_HOF,1684,6318,147,674,748,47,0.249,0.318,0.395,95,-45.2,142.1,30.9
Henry Larkin,not_HOF,1184,5302,53,925,836,129,0.303,0.38,0.44,131,221.1,-75.7,30.8
Frank Schulte,not_HOF,1806,7413,92,906,792,233,0.27,0.332,0.395,114,120.8,-81.8,30.8
Elmer Smith,not_HOF,1234,5400,37,912,663,232,0.31,0.398,0.434,124,201.1,-51.7,30.7
Gary Matthews Sr.,not_HOF,2033,8189,234,1083,978,183,0.281,0.364,0.439,121,199.6,-181.2,30.7
Lorenzo Cain,not_HOF,1171,4758,87,626,454,190,0.283,0.343,0.407,103,52,88.1,30.6
John Titus,not_HOF,1402,5818,38,738,561,140,0.282,0.373,0.385,125,150.4,-70.7,30.5
Coco Crisp,not_HOF,1586,6627,130,877,639,309,0.265,0.327,0.402,97,35.2,41.4,30.5
Travis Fryman,not_HOF,1698,7217,223,895,1022,72,0.274,0.336,0.443,103,22.2,38,30.4
Jose Valentin,not_HOF,1678,6317,249,872,816,136,0.243,0.321,0.448,94,-37.7,132.8,30.3
Kevin Youkilis,not_HOF,1061,4436,150,653,618,26,0.281,0.382,0.478,127,150.2,-1.8,30.2
Kid Elberfeld,not_HOF,1292,5272,10,647,535,213,0.271,0.355,0.339,108,50.9,58.7,30.2
Jacoby Ellsbury,not_HOF,1235,5375,104,749,512,343,0.284,0.342,0.417,104,77.4,32.3,30.1
Edgardo Alfonzo,not_HOF,1506,6108,146,777,744,53,0.284,0.357,0.425,107,63,48.7,30.1
Marty Marion,not_HOF,1572,6141,36,602,624,35,0.263,0.323,0.345,83,-126.5,225.5,30.1
Ryan Klesko,not_HOF,1736,6523,278,874,987,91,0.279,0.37,0.5,127,234.7,-135.6,30.1
Tom Haller,not_HOF,1294,4519,134,461,504,14,0.257,0.34,0.414,113,57.5,63.7,30
Bill Doran,not_HOF,1453,5922,84,727,497,209,0.266,0.354,0.373,109,68.4,24.9,29.9
Shawn Green,not_HOF,1951,7963,328,1129,1070,162,0.283,0.355,0.494,118,184.5,-144.8,29.9
John Reilly,not_HOF,1142,4935,69,898,740,245,0.289,0.325,0.438,119,155.7,-7.4,29.8
Earl Torgeson,not_HOF,1668,6037,149,848,740,133,0.265,0.385,0.417,121,168.8,-69.9,29.8
Tom Daly,not_HOF,1564,6483,49,1024,811,385,0.278,0.361,0.387,109,107.7,-6.4,29.8
Charley Jones,not_HOF,894,4009,56,733,552,20,0.298,0.345,0.444,136,202.5,-24.4,29.7
Grady Sizemore,not_HOF,1101,4724,150,660,518,143,0.265,0.349,0.457,115,126.4,15.5,29.7
Marty McManus,not_HOF,1831,7563,120,1008,999,126,0.289,0.357,0.43,100,-17,45.7,29.7
Kevin Mitchell,not_HOF,1223,4696,234,630,760,30,0.284,0.36,0.52,140,213.5,-82.6,29.6
Walker Cooper,not_HOF,1473,5078,173,573,812,18,0.285,0.332,0.464,114,90.8,35.5,29.6
Brian Roberts,not_HOF,1418,6253,97,850,542,285,0.276,0.347,0.409,101,51.6,33.6,29.6
Clete Boyer,not_HOF,1715,6365,162,645,654,41,0.242,0.299,0.372,86,-110.4,203,29.6
Hunter Pence,not_HOF,1707,7006,244,891,942,120,0.279,0.334,0.461,115,138.2,-73.6,29.6
Billy Jurges,not_HOF,1816,7013,43,721,656,36,0.258,0.325,0.335,84,-139.9,210.3,29.5
Ray Durham,not_HOF,1975,8423,192,1249,875,273,0.277,0.352,0.436,105,78.4,-62.5,29.5
Shane Victorino,not_HOF,1299,5164,108,731,489,231,0.275,0.34,0.425,104,79,44.1,29.4
Dode Paskert,not_HOF,1716,6997,42,868,577,293,0.268,0.35,0.361,109,76,-33.8,29.4
Brandon Phillips,not_HOF,1902,7992,211,1005,951,209,0.275,0.32,0.42,95,-51.5,83.4,29.4
Don Baylor,not_HOF,2292,9401,338,1236,1276,285,0.26,0.342,0.436,118,205.4,-233.5,29.4
Curt Welch,not_HOF,1107,4939,16,915,503,453,0.263,0.345,0.353,108,99.6,26.1,29.2
Adam Jones,not_HOF,1823,7516,282,963,945,97,0.277,0.317,0.454,105,61.6,-34.7,29.2
Del Crandall,not_HOF,1573,5581,179,585,657,26,0.254,0.312,0.404,93,-47.5,154.1,29
Stuffy McInnis,not_HOF,2127,8623,20,872,1063,172,0.307,0.343,0.381,104,14.6,-36.6,29
Ray Chapman,not_HOF,1051,4590,17,671,364,233,0.278,0.358,0.377,111,68.4,34.1,28.9
Jack Clements,not_HOF,1157,4704,77,619,687,55,0.286,0.347,0.421,113,71.2,80,28.9
Davey Johnson,not_HOF,1435,5465,136,564,609,33,0.261,0.34,0.404,112,71.9,34.4,28.9
Carlos Santana,not_HOF,2204,9254,335,1107,1136,65,0.241,0.352,0.425,114,132.2,-161.6,28.8
Nick Markakis,not_HOF,2154,9321,189,1119,1046,66,0.288,0.357,0.423,108,83.1,-107.2,28.8
Bob Meusel,not_HOF,1407,6028,156,826,1068,142,0.309,0.356,0.497,116,116.5,-45.8,28.7
Jhonny Peralta,not_HOF,1798,7319,202,841,873,17,0.267,0.329,0.423,103,-29.9,60.6,28.7
Benito Santiago,not_HOF,1978,7516,217,755,920,91,0.263,0.307,0.415,91,-100.5,139.2,28.7
Del Ennis,not_HOF,1903,7940,288,985,1284,45,0.284,0.34,0.472,115,153.9,-121.9,28.7
Tino Martinez,not_HOF,2023,8044,339,1009,1271,27,0.271,0.344,0.471,110,92.9,-74.7,28.7
Hal McRae,not_HOF,2084,8059,191,940,1097,109,0.29,0.351,0.454,122,198.8,-188.8,28.7
Miguel Montero,not_HOF,1185,4343,126,458,550,5,0.256,0.34,0.411,99,-37.3,175.7,28.6
Bill Skowron,not_HOF,1658,6046,211,681,888,16,0.282,0.332,0.459,118,133.9,-37.9,28.6
Buck Herzog,not_HOF,1493,6047,20,705,445,312,0.259,0.329,0.335,98,-1.6,71.5,28.6
Mike Scioscia,not_HOF,1441,5057,68,398,446,29,0.259,0.344,0.356,100,-6.2,115,28.5
Mickey Tettleton,not_HOF,1485,5745,245,711,732,23,0.241,0.369,0.449,122,139.7,-56.4,28.5
Michael Brantley,not_HOF,1445,6149,129,758,720,125,0.298,0.355,0.439,117,140.2,-72.5,28.5
Darin Erstad,not_HOF,1654,6628,124,913,699,179,0.282,0.336,0.407,93,-34.1,96.3,28.5
Ed Bailey,not_HOF,1212,4208,155,432,540,17,0.256,0.355,0.429,110,46.1,90.5,28.4
Red Smith,not_HOF,1117,4517,27,477,514,117,0.278,0.353,0.377,118,88.2,19.7,28.4
Robby Thompson,not_HOF,1304,5235,119,671,458,103,0.257,0.329,0.403,108,41.6,60.2,28.3
Ron Hunt,not_HOF,1483,6158,39,745,370,65,0.273,0.368,0.347,109,56.4,-7.8,28.3
Pete Runnels,not_HOF,1799,7328,49,876,630,37,0.291,0.375,0.378,108,60.4,-17.4,28.3
Asdrubal Cabrera,not_HOF,1822,7401,195,886,869,91,0.266,0.329,0.423,104,22.9,7.3,28.3
Luis Castillo,not_HOF,1720,7471,28,1001,443,370,0.29,0.368,0.351,97,7.1,37.9,28.3
Oyster Burns,not_HOF,1187,5143,65,869,832,263,0.3,0.368,0.446,127,211.1,-80,28.2
Phil Garner,not_HOF,1860,6861,109,780,738,225,0.26,0.323,0.389,99,-4,50,28.2
Terry Pendleton,not_HOF,1893,7637,140,851,946,127,0.27,0.316,0.391,91,-86.6,110.2,28.2
George Hendrick,not_HOF,2048,7833,267,941,1111,59,0.278,0.329,0.446,115,131.9,-120.6,28.2
Bill Russell,not_HOF,2181,8021,46,796,627,167,0.263,0.31,0.338,82,-157,166,28.2
Jim Piersall,not_HOF,1734,6591,104,811,591,115,0.272,0.332,0.386,91,-61.4,135.3,28.1
Joe Kuhel,not_HOF,2104,9095,131,1236,1049,178,0.277,0.359,0.406,105,49.5,-95.9,28.1
Woody English,not_HOF,1261,5469,32,801,422,57,0.286,0.366,0.378,99,2.8,104.8,28
Terry Steinbach,not_HOF,1546,5905,162,638,745,23,0.271,0.326,0.42,101,-0.7,80.3,28
Von Hayes,not_HOF,1495,6052,143,767,696,253,0.267,0.354,0.416,113,100.9,-28,28
Randy Winn,not_HOF,1717,6878,110,863,662,215,0.284,0.343,0.416,100,28.8,23.5,28
Josh Hamilton,not_HOF,1027,4350,200,609,701,50,0.29,0.349,0.516,127,159.2,-35.1,27.9
Cecil Travis,not_HOF,1328,5414,27,665,657,23,0.314,0.37,0.416,106,36.4,50.2,27.9
Snuffy Stirnweiss,not_HOF,1027,4292,29,604,281,134,0.268,0.362,0.371,106,27.6,95.9,27.8
Ferris Fain,not_HOF,1151,4904,48,595,570,46,0.29,0.424,0.396,127,160.1,-50.4,27.8
Manny Sanguillen,not_HOF,1448,5380,65,566,585,36,0.296,0.326,0.398,99,-10.2,93.5,27.8
Tim McCarver,not_HOF,1909,6206,97,590,645,61,0.271,0.337,0.388,100,-4.9,50.3,27.8
Roy Smalley III,not_HOF,1653,6595,163,745,694,27,0.257,0.345,0.395,105,27,22,27.8
Frankie Crosetti,not_HOF,1683,7273,98,1006,649,113,0.245,0.341,0.354,89,-121.4,137.7,27.8
Pinky Higgins,not_HOF,1802,7554,140,930,1075,61,0.292,0.37,0.428,107,46.3,-42.4,27.8
Rick Dempsey,not_HOF,1766,5407,96,525,471,20,0.233,0.319,0.347,91,-62,154.5,27.7
John Anderson,not_HOF,1635,6768,49,870,976,338,0.29,0.329,0.404,110,101.1,-64.2,27.7
Carlos Lee,not_HOF,2099,8787,358,1125,1363,125,0.285,0.339,0.483,112,102.5,-111.3,27.7
Kevin McReynolds,not_HOF,1502,6039,211,727,807,93,0.265,0.328,0.447,115,106.4,-38.8,27.6
Sam West,not_HOF,1753,6972,75,934,838,53,0.299,0.371,0.425,103,11.4,10.3,27.6
Willie McGee,not_HOF,2201,8188,79,1010,856,352,0.295,0.333,0.396,101,20.5,-25.1,27.6
Lee May,not_HOF,2071,8219,354,959,1244,39,0.267,0.313,0.459,116,139.4,-159.5,27.6
J.J. Hardy,not_HOF,1561,6309,188,718,688,8,0.256,0.305,0.408,89,-103.6,163.1,27.5
Roy Sievers,not_HOF,1887,7349,318,945,1147,14,0.267,0.354,0.475,121,184.5,-158.3,27.5
Harvey Kuenn,not_HOF,1833,7618,87,951,671,68,0.303,0.357,0.408,108,72.9,-54.8,27.5
Willie Horton,not_HOF,2028,8052,325,873,1163,20,0.273,0.332,0.457,119,160.8,-157.7,27.5
Prince Fielder,not_HOF,1611,6853,319,862,1028,18,0.283,0.382,0.506,133,219,-172.7,27.4
Tommy Tucker,not_HOF,1687,7266,42,1084,932,352,0.29,0.364,0.373,104,34.9,-5.1,27.4
Butch Wynegar,not_HOF,1301,5067,65,498,506,10,0.255,0.348,0.347,96,-25.8,123.1,27.3
Richie Zisk,not_HOF,1453,5737,207,681,792,8,0.287,0.353,0.466,127,171.8,-101.2,27.3
Elmer Valo,not_HOF,1806,6091,58,768,601,110,0.282,0.398,0.391,117,120.8,-54.8,27.3
Melvin Mora,not_HOF,1556,6158,171,794,754,93,0.277,0.35,0.431,107,44.5,23.4,27.3
Ray Boone,not_HOF,1373,5297,151,645,737,21,0.275,0.361,0.429,114,91.4,2.9,27.2
Ted Kluszewski,not_HOF,1718,6470,279,848,1028,20,0.298,0.353,0.498,120,164.5,-101.9,27.2
DJ LeMahieu,not_HOF,1673,6822,126,896,663,93,0.289,0.35,0.409,100,-15.6,64.5,27.2
Fred Pfeffer,not_HOF,1670,7108,94,1094,1019,382,0.255,0.312,0.369,93,-65,83.5,27.2
Jason Thompson,not_HOF,1418,5686,208,640,782,8,0.261,0.366,0.438,123,148.3,-76.9,27.1
Germany Smith,not_HOF,1710,6995,47,907,797,235,0.243,0.289,0.332,77,-264.8,263.3,27.1
Lefty O'Doul,not_HOF,970,3659,113,624,542,36,0.349,0.413,0.532,141,214,-49.7,27
John Kruk,not_HOF,1200,4603,100,582,592,58,0.3,0.397,0.446,134,178.1,-69.2,27
Ron Hansen,not_HOF,1384,4961,106,446,501,9,0.234,0.32,0.351,93,-39,155,27
Brandon Belt,not_HOF,1413,5483,194,681,627,47,0.261,0.357,0.46,125,157.5,-70.6,27
Leo Cardenas,not_HOF,1941,7402,118,662,689,39,0.257,0.311,0.367,86,-124.2,140.6,27
John Mayberry Sr.,not_HOF,1620,6447,255,733,879,20,0.253,0.36,0.439,123,163,-120.5,26.9
Chase Headley,not_HOF,1436,5761,130,637,596,93,0.263,0.342,0.399,107,48.9,24.3,26.8
Denard Span,not_HOF,1359,5956,71,773,490,185,0.281,0.347,0.398,105,65.1,-4.6,26.8
Bing Miller,not_HOF,1820,6885,116,946,992,127,0.311,0.359,0.461,107,53.9,-34,26.8
Victor Martinez,not_HOF,1973,8166,246,914,1178,7,0.295,0.36,0.455,117,75.6,-84.9,26.8
Corey Koskie,not_HOF,989,3950,124,516,506,71,0.275,0.367,0.458,113,62.9,73.8,26.7
Sam Mertes,not_HOF,1190,4999,40,695,721,396,0.279,0.346,0.398,113,123,-40.3,26.7
Terry Puhl,not_HOF,1531,5480,62,676,435,217,0.28,0.349,0.388,113,86.9,-9.9,26.7
Kevin Seitzer,not_HOF,1439,6062,74,739,613,80,0.295,0.375,0.404,113,96.1,-35.9,26.7
Kevin Kiermaier,not_HOF,1159,4040,95,499,378,132,0.246,0.304,0.402,95,12.7,112.6,26.6
Glenn Wright,not_HOF,1119,4480,94,584,723,38,0.294,0.328,0.447,97,-14.7,135.5,26.6
Denis Menke,not_HOF,1598,5934,101,605,606,34,0.25,0.343,0.37,104,18.8,22.4,26.6
Newt Allen,not_HOF,945,3964,21,604,478,138,0.289,0.347,0.376,100,28.5,111,26.5
Doug Rader,not_HOF,1465,5832,155,631,722,37,0.251,0.322,0.403,105,31.4,20.1,26.5
Raul Mondesi,not_HOF,1525,6369,271,909,860,229,0.273,0.331,0.485,112,111.1,-49.3,26.5
Ossie Bluege,not_HOF,1867,7452,43,883,848,140,0.272,0.352,0.356,89,-133.8,124.8,26.5
Carlos Gomez,not_HOF,1461,5227,145,675,546,268,0.252,0.313,0.411,95,3.7,78.6,26.4
Red Rolfe,not_HOF,1174,5405,69,942,497,44,0.289,0.36,0.413,102,15.2,57.7,26.4
Mark Ellis,not_HOF,1435,5728,105,690,550,82,0.262,0.327,0.384,93,-20.4,92.2,26.4
Lance Johnson,not_HOF,1447,5800,34,767,486,327,0.291,0.334,0.386,94,-18.3,97,26.4
Buddy Lewis,not_HOF,1349,5937,71,830,607,83,0.297,0.368,0.42,109,56.1,-7.9,26.4
Tom Brown,not_HOF,1786,8182,64,1521,736,657,0.265,0.337,0.361,101,59.5,-95.9,26.4
Marquis Grissom,not_HOF,2165,8959,227,1187,967,429,0.272,0.318,0.415,93,-53.1,18.8,26.4
George Stone,not_HOF,849,3668,23,428,268,133,0.301,0.361,0.396,140,147.3,-32.4,26.3
Dave Henderson,not_HOF,1538,5677,197,710,708,50,0.258,0.32,0.436,109,49.6,18,26.3
Jose Abreu,not_HOF,1446,6220,263,769,960,11,0.283,0.345,0.488,126,168.2,-123.6,26.3
Sixto Lezcano,not_HOF,1291,4814,148,560,591,37,0.271,0.36,0.44,125,135.3,-43.1,26.1
Mike Lowell,not_HOF,1601,6500,223,771,952,30,0.279,0.342,0.464,108,25.8,22.7,26.1
John Morrill,not_HOF,1265,5274,43,821,643,61,0.26,0.31,0.367,110,71.6,22.1,26
Lloyd Moseby,not_HOF,1588,6574,169,869,737,280,0.257,0.332,0.414,103,41.8,-3.6,26
Hal Chase,not_HOF,1919,7939,57,980,941,363,0.291,0.319,0.391,109,97.8,-122.6,26
Tommie Agee,not_HOF,1129,4324,130,558,433,167,0.255,0.32,0.412,110,54.3,53.7,25.9
Jack Doyle,not_HOF,1564,6566,26,971,968,516,0.299,0.351,0.385,104,96.6,-43.2,25.9
Chris Chambliss,not_HOF,2175,8314,185,912,972,40,0.279,0.334,0.415,108,68.4,-87.9,25.9
Charles Johnson,not_HOF,1188,4386,167,465,570,6,0.245,0.33,0.433,97,-25.6,146.3,25.8
Billy Werber,not_HOF,1295,5845,78,875,539,215,0.271,0.364,0.392,100,9.5,52.7,25.8
Baby Doll Jacobson,not_HOF,1472,6072,83,787,821,86,0.311,0.357,0.45,108,58,-17.8,25.8
Rich Aurilia,not_HOF,1652,6278,186,745,756,23,0.275,0.328,0.433,98,-23.3,83.5,25.8
Ben Oglivie,not_HOF,1754,6598,235,784,901,87,0.273,0.336,0.45,116,110.1,-76.9,25.8
Alex Rios,not_HOF,1691,6929,169,885,794,253,0.277,0.321,0.434,98,14.2,8.3,25.8
Matt Kemp,not_HOF,1750,6983,287,950,1031,184,0.284,0.337,0.484,120,174.1,-145.8,25.8
Mike Greenwell,not_HOF,1269,5166,130,657,726,80,0.303,0.368,0.463,120,117.9,-38.9,25.7
Fred Merkle,not_HOF,1638,6426,61,720,733,272,0.273,0.331,0.383,110,89.2,-59.4,25.7
Dave Magadan,not_HOF,1582,4963,42,516,495,11,0.288,0.39,0.377,117,97,-9.4,25.6
Hans Lobert,not_HOF,1317,5227,32,640,482,316,0.274,0.337,0.366,108,71.4,-18,25.6
Adam Dunn,not_HOF,2001,8328,462,1097,1168,63,0.237,0.364,0.49,123,240.1,-252.8,25.6
Andrelton Simmons,not_HOF,1226,4816,70,501,444,72,0.263,0.312,0.366,86,-77.4,167.3,25.5
Carlos Guillen,not_HOF,1305,5277,124,733,660,74,0.285,0.355,0.443,111,69.2,9.2,25.5
David DeJesus,not_HOF,1472,5916,99,740,573,66,0.275,0.349,0.412,105,39.7,14.8,25.5
Greg Vaughn,not_HOF,1731,7070,355,1017,1072,121,0.242,0.337,0.47,111,101.2,-75.7,25.5
Michael Young,not_HOF,1970,8612,185,1137,1030,90,0.3,0.346,0.441,104,28.7,-68,25.3
Brian Dozier,not_HOF,1144,4900,192,664,561,105,0.244,0.325,0.441,107,59.1,23.4,25.2
Hank Sauer,not_HOF,1399,5414,288,709,876,11,0.266,0.347,0.496,121,146.5,-74.4,25.1
Jeromy Burnitz,not_HOF,1694,6580,315,917,981,74,0.253,0.345,0.481,110,82.7,-44.3,25.1
Joe Harris,not_HOF,970,3574,47,461,517,36,0.317,0.404,0.472,131,141.7,-17.3,25
Darren Daulton,not_HOF,1161,4340,137,511,588,50,0.245,0.357,0.427,114,78,21.7,25
Jack Rowe,not_HOF,1044,4626,28,764,644,59,0.286,0.323,0.392,111,54.3,46.8,25
Virgil Davis,not_HOF,1458,4713,77,388,647,6,0.308,0.369,0.43,109,49.7,50.4,25
Carlos Gonzalez,not_HOF,1377,5551,234,821,785,122,0.285,0.343,0.5,111,89.3,-24.5,25
Nick Swisher,not_HOF,1527,6308,245,805,803,13,0.249,0.351,0.447,114,104.2,-69.6,25
Vernon Wells,not_HOF,1731,7212,270,930,958,109,0.27,0.319,0.459,102,35.1,-29,25
Scott Fletcher,not_HOF,1612,5976,34,688,510,99,0.262,0.332,0.342,87,-100.6,149.4,24.9
Bill Lange,not_HOF,811,3609,39,689,578,399,0.33,0.401,0.459,122,169.3,-17.4,24.8
Don Mincher,not_HOF,1400,4725,200,530,643,24,0.249,0.348,0.45,126,129.3,-35.3,24.8
